code,parent,label_et
A,,"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK"
16219,1621,Muude puitplaatide tootmine
1622,162,Kilpparketi tootmine
16221,1622,Kilpparketi tootmine
1623,162,Ehituspuusepa- ja tisleritoodete tootmine
16231,1623,Kokkupandavate puitehitiste ja nende elementide tootmine
16239,1623,Muude ehituspuusepa- ja tisleritoodete tootmine
1624,162,Puittaara tootmine
16241,1624,Puittaara ja puitaluste tootmine
1625,162,Puituste ja -akende tootmine
16251,1625,Puituste ja -akende tootmine
1626,162,Taimsest biomassist tahkekütuste tootmine
16261,1626,Taimsest biomassist tahkekütuste tootmine
1627,162,Puittoodete viimistlemine
16271,1627,Puittoodete viimistlemine
1628,162,"Muude puittoodete ning korgist, õlest vm punumismaterjalist toodete tootmine"
16281,1628,Puidust tarbe- ja dekoratiivesemete jm puittoodete tootmine
16282,1628,"Korgist, õlest ja punumismaterjalist toodete tootmine"
17,C,Paberi ja pabertoodete tootmine
171,17,"Paberimassi, paberi ja papi tootmine"
1711,171,Paberimassi tootmine
17111,1711,Paberimassi tootmine
1712,171,Paberi- ja papitootmine
17121,1712,Paberi- ja papitootmine
172,17,Paber- ja papptoodete tootmine
1721,172,Lainepaberi ja -papi ning paber- ja papptaara tootmine
17211,1721,Lainepaberi ja -papi ning paber- ja papptaara tootmine
1722,172,Paberist kodu- ja hügieenitarvete ning tualettpaberi tootmine
17221,1722,Paberist kodu- ja hügieenitarvete ning tualettpaberi tootmine
1723,172,Paberist kirjatarvete tootmine
17231,1723,Paberist kirjatarvete tootmine
1724,172,Tapeeditootmine
17241,1724,Tapeeditootmine
1725,172,Muude paber- ja papptoodete tootmine
17251,1725,Muude paber- ja papptoodete tootmine
18,C,Trükindus ja salvestiste paljundus
181,18,Trükindus ja selle sidusalad
1811,181,Ajalehtede trükkimine
18111,1811,Ajalehtede trükkimine
1812,181,Muu trükkimine
18121,1812,Raamatute trükkimine
18122,1812,"Perioodikaväljaannete, reklaammaterjalide, blankettide jms trükkimine"
18129,1812,"Mujal liigitamata trükkimine, k.a siiditrükk"
1813,181,Trükieelne tegevus
18131,1813,Trükieelne tegevus
1814,181,Köitmine ja selle sidusalad
18141,1814,Köitmine ja selle sidusalad
182,18,Salvestiste paljundus
1820,182,Salvestiste paljundus
18201,1820,Salvestiste paljundus
19,C,Koksi ja puhastatud naftatoodete tootmine
191,19,Koksitootmine
1910,191,Koksitootmine
19101,1910,Koksitootmine
192,19,Puhastatud naftatoodete ja fossiilkütusetoodete tootmine
1920,192,Puhastatud naftatoodete ja fossiilkütusetoodete tootmine
19201,1920,Puhastatud naftatoodete ja fossiilkütusetoodete tootmine
20,C,Kemikaalide ja keemiatoodete tootmine
201,20,"Põhikemikaalide, väetise ja lämmastikuühendite tootmine; plasti ja sünteeskautšuki tootmine algkujul"
2011,201,Tööstusgaaside tootmine
20111,2011,Tööstusgaaside tootmine
2012,201,Värvainete ja pigmentide tootmine
20121,2012,Värvainete ja pigmentide tootmine
2013,201,Muude anorgaaniliste põhikemikaalide tootmine
20131,2013,Muude anorgaaniliste põhikemikaalide tootmine
2014,201,Muude orgaaniliste põhikemikaalide tootmine
20141,2014,Muude orgaaniliste põhikemikaalide tootmine
2015,201,Väetiste ja lämmastikuühendite tootmine
20151,2015,Väetiste ja lämmastikuühendite tootmine
2016,201,Plasti tootmine algkujul
20161,2016,Plasti tootmine algkujul
2017,201,Sünteeskautšuki (toorkummi) tootmine algkujul
20171,2017,Sünteeskautšuki (toorkummi) tootmine algkujul
202,20,"Taimekaitsevahendite, desinfektsioonivahendite ja muude agrokeemiatoodete tootmine"
2020,202,"Taimekaitsevahendite, desinfektsioonivahendite ja muude agrokeemiatoodete tootmine"
20201,2020,"Taimekaitsevahendite, desinfektsioonivahendite ja muude agrokeemiatoodete tootmine"
203,20,"Värvide, lakkide ja muude viimistlusvahendite ning trükivärvide ja mastiksite tootmine"
2030,203,"Värvide, lakkide ja muude viimistlusvahendite ning trükivärvide ja mastiksite tootmine"
20301,2030,"Värvide, lakkide ja muude viimistlusvahendite ning trükivärvide ja mastiksite tootmine"
204,20,"Pesemis-, puhastus- ja poleervahendite tootmine"
2041,204,"Seebi, pesemis-, puhastus- ja poleervahendite tootmine"
20411,2041,"Seebi, pesemis-, puhastus- ja poleervahendite tootmine"
2042,204,Parfüümide ja tualetitarvete tootmine
20421,2042,Parfüümide ja tualetitarvete tootmine
205,20,Muude keemiatoodete tootmine
2051,205,Vedelate biokütuste tootmine
20511,2051,Vedelate biokütuste tootmine
2059,205,Mujal liigitamata keemiatoodete tootmine
20591,2059,Lõhkeaine tootmine
20592,2059,Liimitootmine
20593,2059,Eeterlike õlide tootmine
20599,2059,Mujal liigitamata keemiatoodete tootmine
206,20,Keemilise kiu tootmine
2060,206,Keemilise kiu tootmine
20601,2060,Keemilise kiu tootmine
21,C,Põhifarmaatsiatoodete ja ravimpreparaatide tootmine
211,21,Põhifarmaatsiatoodete tootmine
2110,211,Põhifarmaatsiatoodete tootmine
21101,2110,Põhifarmaatsiatoodete tootmine
212,21,Ravimpreparaatide tootmine
2120,212,Ravimpreparaatide tootmine
21201,2120,Ravimpreparaatide tootmine
22,C,Kummi- ja plasttoodete tootmine
221,22,Kummitoodete tootmine
2211,221,"Kummirehvide tootmine, protekteerimine ja taastamine ning sisekummide tootmine"
22111,2211,"Kummirehvide tootmine, protekteerimine ja taastamine ning sisekummide tootmine"
2212,221,Muude kummitoodete tootmine
22121,2212,Muude kummitoodete tootmine
222,22,Plasttoodete tootmine
2221,222,"Plastplaatide, -lehtede, -torude ja -profiilide tootmine"
22211,2221,"Plastplaatide, -lehtede, -torude ja -profiilide tootmine"
2222,222,Plasttaara tootmine
22221,2222,Plasttaara tootmine
2223,222,Plastuste ja -akende tootmine
22231,2223,"Plastuste, -akende, -vaheseinte jms tootmine"
2224,222,Plastist ehitustoodete tootmine
22241,2224,"Plastist sanitaartoodete tootmine (vannid, kraanikausid jne)"
22249,2224,Muude plastist ehitustoodete tootmine
2225,222,Plasttoodete töötlemine ja viimistlemine
22251,2225,Plasttoodete töötlemine ja viimistlemine
2226,222,Muude plasttoodete tootmine
22261,2226,Muude plasttoodete tootmine
23,C,Muude mittemetalsetest mineraalidest toodete tootmine
231,23,Klaasi ja klaastoodete tootmine
2311,231,Lehtklaasi tootmine
23111,2311,Lehtklaasi tootmine
2312,231,Lehtklaasi vormimine ja töötlemine
23121,2312,Lehtklaasi vormimine ja töötlemine
2313,231,Klaasanumate tootmine
23131,2313,Klaasnõude (v.a klaastaara) ja sisekujunduses vm kasutatavate klaasesemete tootmine
23132,2313,Klaastaara tootmine
2314,231,Klaaskiutootmine
23141,2314,Klaaskiutootmine
2315,231,"Muu klaasi tootmine ja töötlemine, sh tehniline klaas"
23151,2315,Klaasist ehitusmaterjalide tootmine
23159,2315,Muude klaastoodete ja tehnilise klaasi tootmine
232,23,Tulekindlate toodete tootmine
2320,232,Tulekindlate toodete tootmine
23201,2320,Tulekindlate toodete tootmine
233,23,Savist ehitusmaterjalide tootmine
2331,233,Keraamiliste kivide ja plaatide tootmine
23311,2331,Keraamiliste kivide ja plaatide tootmine
2332,233,"Põletatud savist telliste, kivide ja muude ehitustoodete tootmine"
23321,2332,"Põletatud savist telliste, kivide ja muude ehitustoodete tootmine"
234,23,Muude portselan- ja keraamikatoodete tootmine
2341,234,Kodu- ja ehiskeraamika tootmine
23411,2341,Kodu- ja ehiskeraamika tootmine
2342,234,Keraamiliste sanitaarseadmete tootmine
23421,2342,Keraamiliste sanitaarseadmete tootmine
2343,234,Keraamiliste isolaatorite ja isolatsioonielementide tootmine
23431,2343,Keraamiliste isolaatorite ja isolatsioonielementide tootmine
2344,234,Muu tehnilise keraamika tootmine
23441,2344,Muu tehnilise keraamika tootmine
2345,234,Muu keraamika tootmine
23451,2345,Muu keraamika tootmine
235,23,"Tsemendi-, lubja- ja kipsitootmine"
2351,235,Tsemenditootmine
23511,2351,Tsemenditootmine
2352,235,Lubja- ja kipsitootmine
23521,2352,Lubja- ja kipsitootmine
236,23,"Betoon-, tsement- ja kipstoodete tootmine"
2361,236,Betoonist ehitustoodete tootmine
23611,2361,Kokkupandavate betoonehitiste ja nende elementide tootmine
23619,2361,Betoonist muude ehitustoodete tootmine
2362,236,Kipsist ehitustoodete tootmine
23621,2362,Kipsist ehitustoodete tootmine
2363,236,Valmis betoonisegu tootmine
23631,2363,Valmis betoonisegu tootmine
2364,236,Mörditootmine
23641,2364,Mörditootmine
2365,236,Kiudtsemendi tootmine
23651,2365,Kiudtsemendi tootmine
2366,236,"Muude betoon-, tsement- ja kipstoodete tootmine"
23661,2366,"Muude betoon-, tsement- ja kipstoodete tootmine"
237,23,"Kivilõikamine, -vormimine ja -viimistlus"
2370,237,"Kivilõikamine, -vormimine ja -viimistlus"
23701,2370,"Looduskivist hauakivide, -plaatide jms valmistamine"
23702,2370,Paekivist ja dolomiidist ehitusmaterjalide jm toodete tootmine
23703,2370,"Graniidist, marmorist jm looduslikust kivist toodete tootmine"
239,23,Mujal liigitamata abrasiivtoodete ja mittemetalsetest mineraalidest toodete tootmine
2391,239,Abrasiivtoodete tootmine
23911,2391,Abrasiivtoodete tootmine
2399,239,Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine
23991,2399,Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine
24,C,Metallitootmine
241,24,"Raua, terase ja ferrosulamite tootmine"
2410,241,"Raua, terase ja ferrosulamite tootmine"
24101,2410,"Raua, terase ja ferrosulamite tootmine"
242,24,"Terastorude, -õõnesprofiilide jms -toruliitmike tootmine"
2420,242,"Terastorude, -õõnesprofiilide jms -toruliitmike tootmine"
24201,2420,"Terastorude, -õõnesprofiilide jms -toruliitmike tootmine"
243,24,Muude terase esmatöötlustoodete tootmine
2431,243,Külmtõmbamine lattideks
24311,2431,Külmtõmbamine lattideks
2432,243,Külmvaltsimine kitsasteks ribadeks
24321,2432,Külmvaltsimine kitsasteks ribadeks
2433,243,Külmvormimine ja -painutamine
24331,2433,Külmvormimine ja -painutamine
2434,243,Traadi külmtõmbamine
24341,2434,Traadi külmtõmbamine
244,24,Vääris- ja muude mitteraudmetallide tootmine
